WE,WF,impressions,demand_factor,direction_100,direction_200
19,0,2000,0.25,f,f
18,1,2000,0.25,f,f
17,2,2000,0.25,f,f
16,3,2000,0.25,f,f
15,4,2000,0.25,f,f
14,5,2000,0.25,s,f
13,6,2000,0.25,b,s
12,7,2000,0.25,b,b
11,8,2000,0.25,b,b
10,9,2000,0.25,b,b
9,10,2000,0.25,b,b
8,11,2000,0.25,b,b
7,12,2000,0.25,b,b
6,13,2000,0.25,b,b
5,14,2000,0.25,b,b
4,15,2000,0.25,b,b
3,16,2000,0.25,b,b
2,17,2000,0.25,b,b
1,18,2000,0.25,b,b
0,19,2000,0.25,b,b
19,0,2000,0.5,f,f
18,1,2000,0.5,f,f
17,2,2000,0.5,f,f
16,3,2000,0.5,f,f
15,4,2000,0.5,f,f
14,5,2000,0.5,f,f
13,6,2000,0.5,f,f
12,7,2000,0.5,f,f
11,8,2000,0.5,f,s
10,9,2000,0.5,s,b
9,10,2000,0.5,b,b
8,11,2000,0.5,b,b
7,12,2000,0.5,b,b
6,13,2000,0.5,b,b
5,14,2000,0.5,b,b
4,15,2000,0.5,b,b
3,16,2000,0.5,b,b
2,17,2000,0.5,b,b
1,18,2000,0.5,b,b
0,19,2000,0.5,b,b
19,0,2000,0.75,s,f
18,1,2000,0.75,s,f
17,2,2000,0.75,f,f
16,3,2000,0.75,f,f
15,4,2000,0.75,f,f
14,5,2000,0.75,f,f
13,6,2000,0.75,f,f
12,7,2000,0.75,f,s
11,8,2000,0.75,f,b
10,9,2000,0.75,f,b
9,10,2000,0.75,s,b
8,11,2000,0.75,b,b
7,12,2000,0.75,b,b
6,13,2000,0.75,b,b
5,14,2000,0.75,b,b
4,15,2000,0.75,b,b
3,16,2000,0.75,b,b
2,17,2000,0.75,b,b
1,18,2000,0.75,b,b
0,19,2000,0.75,b,b
19,0,2000,1.0,f,f
18,1,2000,1.0,f,f
17,2,2000,1.0,f,f
16,3,2000,1.0,f,f
15,4,2000,1.0,f,f
14,5,2000,1.0,f,f
13,6,2000,1.0,f,f
12,7,2000,1.0,f,f
11,8,2000,1.0,f,s
10,9,2000,1.0,s,s
9,10,2000,1.0,b,s
8,11,2000,1.0,b,b
7,12,2000,1.0,b,b
6,13,2000,1.0,b,b
5,14,2000,1.0,b,b
4,15,2000,1.0,b,b
3,16,2000,1.0,b,b
2,17,2000,1.0,b,b
1,18,2000,1.0,b,b
0,19,2000,1.0,b,b
19,0,2000,1.25,f,f
18,1,2000,1.25,f,f
17,2,2000,1.25,f,f
16,3,2000,1.25,f,f
15,4,2000,1.25,f,f
14,5,2000,1.25,f,f
13,6,2000,1.25,f,f
12,7,2000,1.25,f,f
11,8,2000,1.25,f,f
10,9,2000,1.25,s,f
9,10,2000,1.25,b,s
8,11,2000,1.25,b,b
7,12,2000,1.25,b,b
6,13,2000,1.25,b,b
5,14,2000,1.25,b,b
4,15,2000,1.25,b,b
3,16,2000,1.25,b,b
2,17,2000,1.25,b,b
1,18,2000,1.25,b,b
0,19,2000,1.25,b,b
19,0,2000,1.5,f,f
18,1,2000,1.5,f,f
17,2,2000,1.5,f,f
16,3,2000,1.5,f,f
15,4,2000,1.5,f,f
14,5,2000,1.5,f,f
13,6,2000,1.5,f,f
12,7,2000,1.5,f,f
11,8,2000,1.5,f,f
10,9,2000,1.5,s,f
9,10,2000,1.5,b,s
8,11,2000,1.5,b,b
7,12,2000,1.5,b,b
6,13,2000,1.5,b,b
5,14,2000,1.5,b,b
4,15,2000,1.5,b,b
3,16,2000,1.5,b,b
2,17,2000,1.5,b,b
1,18,2000,1.5,b,b
0,19,2000,1.5,b,b
19,0,2000,1.75,f,f
18,1,2000,1.75,f,f
17,2,2000,1.75,f,f
16,3,2000,1.75,f,f
15,4,2000,1.75,f,f
14,5,2000,1.75,f,f
13,6,2000,1.75,f,f
12,7,2000,1.75,f,f
11,8,2000,1.75,f,f
10,9,2000,1.75,f,f
9,10,2000,1.75,f,f
8,11,2000,1.75,f,s
7,12,2000,1.75,s,b
6,13,2000,1.75,b,b
5,14,2000,1.75,b,b
4,15,2000,1.75,b,b
3,16,2000,1.75,b,b
2,17,2000,1.75,b,b
1,18,2000,1.75,b,b
0,19,2000,1.75,b,b
19,0,2000,2.0,f,f
18,1,2000,2.0,f,f
17,2,2000,2.0,f,f
16,3,2000,2.0,f,f
15,4,2000,2.0,f,f
14,5,2000,2.0,f,f
13,6,2000,2.0,f,f
12,7,2000,2.0,f,f
11,8,2000,2.0,f,f
10,9,2000,2.0,f,f
9,10,2000,2.0,f,f
8,11,2000,2.0,f,s
7,12,2000,2.0,s,b
6,13,2000,2.0,b,b
5,14,2000,2.0,b,b
4,15,2000,2.0,b,b
3,16,2000,2.0,b,b
2,17,2000,2.0,b,b
1,18,2000,2.0,b,b
0,19,2000,2.0,b,b
